Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
Arago 12|21,48|9,61|6,0|6,0|?
Arago 2|22,01|5,45|3,0|5,0|?
Arago 3|21,70|5,51|0,0|0,0|?
Arago 4|21,95|5,74|0,0|0,0|?
Arago 5|22,09|5,91|0,0|0,0|?
Arago 6|22,28|6,03|0,0|0,0|?
Arago 7|22,16|6,20|0,0|0,0|?
Arago 8|24,16|8,34|0,0|0,0|?
Arago 9|21,23|8,57|6,0|8,2|?
Arago A 1|21,41|7,47|15,0|24,0|?
ARAGO ALPHA|21,50|7,60|20,0|20,0|?
ARAGO B|20,82|3,43|7,0|7,0|?
Arago B 1|19,93|6,08|20,0|23,3|?
ARAGO BETA|20,10|6,30|20,0|20,0|?
Arago D 1|23,98|8,51|0,0|0,0|?
ARAGO E|22,71|8,51|6,0|6,0|?
ARATUS|4,51|23,58|10,0|10,0|1860
ARATUS B|5,43|24,18|7,0|7,0|?
Aratus C 1|8,48|22,77|14,0|14,0|?
ARATUS CA|11,18|24,56|7,0|7,0|?
ARCHIMEDES|-3,99|29,72|83,0|83,0|2150
Archimedes 1|-3,53|24,52|0,0|0,0|?
ARCHIMEDES C|-1,53|31,63|8,0|8,0|?
ARCHYTAS|4,99|58,87|31,0|32,0|2350
ARCHYTAS B|3,17|61,44|36,0|36,0|?
ARCHYTAS D|11,90|63,71|43,0|43,0|?
ARCHYTAS G|0,53|55,73|7,0|7,0|?
Archytas G 1|1,22|55,79|17,0|17,0|?
ARCHYTAS K|7,68|62,66|15,0|15,0|?
ARCHYTAS U|9,22|62,90|8,0|8,0|?
ARCHYTAS W|5,20|61,29|6,0|6,0|?
ARGELANDER|5,80|-16,55|35,0|34,0|2980
ARGELANDER A|6,75|-16,54|9,0|9,0|?
ARGELANDER B|5,10|-15,60|6,0|6,0|?
ARGELANDER D|4,44|-17,64|11,0|11,0|?
ARGELANDER W|4,18|-16,75|19,0|19,0|?
ARIADAEUS|17,28|4,55|12,0|11,0|1830
Ariadaeus 1|16,05|5,97|6,0|6,0|?
ARIADAEUS A|17,49|4,64|8,0|8,0|?
ARIADAEUS B|15,06|4,90|8,0|8,0|?
ARIADAEUS E|17,63|5,32|24,0|24,0|?
ARISTARCHUS|-47,49|23,73|40,0|40,0|3000
ARISTARCHUS B|-46,85|26,28|7,0|7,0|?
ARISTARCHUS F|-46,57|21,67|18,0|18,0|?
ARISTARCHUS Z|-48,49|25,49|8,0|8,0|?
ARISTILLUS|1,21|33,88|55,0|55,0|3650
Aristillus 1|3,94|30,80|35,0|35,0|?
ARISTILLUS B|-1,93|34,80|8,0|8,0|?
ARISTOTELES|17,32|50,24|88,0|87,0|3700
Aristoteles 1|25,30|52,19|5,5|5,5|?
ARISTOTELES D|14,71|47,48|6,0|6,0|?
ARISTOTELES M|27,26|53,50|7,0|7,0|?
ARNOLD|35,83|66,98|96,0|95,0|?
ARNOLD A|39,60|68,77|57,0|57,0|?
ARNOLD E|38,10|71,48|32,0|32,0|?
ARNOLD F|35,18|67,55|10,0|10,0|?
ARNOLD G|31,45|67,39|11,0|11,0|?
ARNOLD H|44,98|72,59|13,0|13,0|?
ARNOLD J|33,82|65,90|6,0|6,0|?
ARNOLD K|42,38|70,71|29,0|29,0|?
ARNOLD L|35,77|70,00|33,0|33,0|?
ARNOLD M|43,59|68,29|7,0|7,0|?
ARNOLD N|41,60|70,15|18,0|18,0|?
ARRHENIUS J|-88,45|-57,52|17,0|17,0|
ARYABHATA|35,17|6,20|22,0|22,0|?
ARZACHEL|-1,93|-18,26|98,0|97,0|3610
ARZACHEL A|-1,51|-18,06|10,0|10,0|?
ARZACHEL B|-2,98|-17,06|8,0|8,0|?
ARZACHEL C|-3,71|-17,49|6,0|6,0|?
ARZACHEL D|-2,14|-20,19|8,0|8,0|?
ARZACHEL L|0,13|-19,96|8,0|8,0|?
ASADA|49,90|7,25|12,0|12,0|2000
ASCLEPI|25,52|-55,19|43,0|43,0|2800
ASCLEPI A|23,01|-53,10|14,0|14,0|?
ASCLEPI B|23,83|-54,24|19,0|19,0|?
ASCLEPI C|23,55|-53,58|11,0|11,0|?
ASCLEPI D|24,09|-53,66|18,0|18,0|?
ASCLEPI E|24,15|-52,26|7,0|7,0|?
ASCLEPI H|25,20|-52,80|19,0|19,0|?
ASTON K|-87,89|35,04|14,0|14,0|?
ASTON L|-86,51|35,47|10,0|10,0|?
ATLAS|44,38|46,74|88,0|87,0|3000
ATLAS A|49,56|45,34|22,0|22,0|?
ATLAS D|49,65|50,40|25,0|25,0|?
ATLAS E|42,50|48,61|58,0|58,0|?
ATLAS G|46,47|50,73|23,0|23,0|?
ATLAS L|48,62|51,33|6,0|6,0|?
ATLAS P|53,00|49,66|27,0|27,0|?
ATWOOD|57,78|-5,88|30,0|29,0|2200
AUTOLYCUS|1,49|30,68|40,0|39,0|3430
AUWERS|17,12|15,00|20,0|20,0|1630
AUWERS A|18,31|13,77|8,0|8,0|?
AUZOUT|64,01|10,21|33,0|33,0|?
AUZOUT C|65,27|8,79|16,0|16,0|?
AUZOUT D|62,43|9,35|10,0|10,0|?
AUZOUT E|60,66|9,57|17,0|17,0|?
AUZOUT L|61,30|8,34|9,0|9,0|?
AUZOUT R|60,04|8,70|6,0|6,0|?
AUZOUT U|61,05|9,39|8,0|8,0|?
AUZOUT V|61,31|9,34|7,0|7,0|?
AZOPHI|12,70|-22,19|48,0|48,0|3730
AZOPHI A|11,18|-24,43|29,0|29,0|?
AZOPHI B|10,59|-23,58|19,0|19,0|?
AZOPHI D|13,39|-24,32|9,0|9,0|?
AZOPHI F|13,84|-22,31|6,0|6,0|?
AZOPHI G|12,27|-23,87|53,0|53,0|?
AZOPHI H|11,84|-25,58|21,0|21,0|?
AZOPHI J|13,17|-21,29|8,0|8,0|?
Bà¼rg 1|29,77|46,30|0,0|0,0|?
BAADE|-82,03|-44,75|55,0|55,0|?
BABBAGE|-57,38|59,56|144,0|144,0|?
BABBAGE A|-55,65|59,14|26,0|26,0|?
BABBAGE B|-59,63|57,05|7,0|7,0|?
BABBAGE C|-57,51|59,19|14,0|14,0|?
BABBAGE D|-61,17|58,65|68,0|68,0|?
BABBAGE E|-61,61|58,47|7,0|7,0|?
BABY RAY|15,40|-9,10|0,2|0,2|
BACK|80,67|1,20|35,0|35,0|?
BACO|19,10|-51,04|70,0|70,0|3900
BACO A|20,21|-52,99|39,0|39,0|?
BACO B|16,58|-49,63|43,0|43,0|?
BACO C|14,71|-50,92|14,0|14,0|?
BACO D|16,29|-51,73|8,0|8,0|?
BACO E|16,17|-53,03|28,0|28,0|?
BACO F|17,65|-50,37|6,0|6,0|?
BACO G|17,16|-54,47|9,0|9,0|?
BACO H|18,95|-52,07|6,0|6,0|?
BACO J|19,27|-54,83|19,0|19,0|?
BACO K|17,62|-54,08|29,0|29,0|?
BACO L|16,75|-49,60|7,0|7,0|?
BACO M|17,95|-49,27|7,0|7,0|?
BACO N|16,20|-50,90|23,0|23,0|?
BACO O|19,88|-52,12|9,0|9,0|?
BACO Q|18,62|-52,41|20,0|20,0|?
BACO R|20,92|-49,24|18,0|18,0|?
BACO S|18,46|-49,41|18,0|18,0|?
BACO U|19,30|-52,47|6,0|6,0|?
BACO W|21,11|-53,39|9,0|9,0|?
BACO Z|14,96|-53,11|7,0|7,0|?
BAILLAUD|37,35|74,61|91,0|90,0|?
BAILLAUD A|48,28|75,61|56,0|56,0|?
BAILLAUD B|32,91|72,93|17,0|17,0|?
BAILLAUD C|50,91|74,90|11,0|11,0|?
BAILLAUD D|49,28|73,41|16,0|16,0|?
BAILLAUD E|35,95|74,33|14,0|14,0|?
BAILLAUD F|53,02|75,62|20,0|20,0|?
BAILLY|-68,90|-66,82|303,0|303,0|?
BAILLY A|-59,57|-69,28|38,0|38,0|?
BAILLY B|-63,25|-68,74|65,0|65,0|?
BAILLY C|-70,34|-65,79|20,0|20,0|?
BAILLY D|-72,38|-65,25|23,0|23,0|?
BAILLY E|-65,75|-62,45|13,0|13,0|?
BAILLY F|-69,59|-67,46|16,0|16,0|?
BAILLY G|-59,47|-65,63|18,0|18,0|?
BAILLY H|-62,59|-63,57|12,0|12,0|?
BAILLY K|-76,71|-62,73|20,0|20,0|?
BAILLY L|-71,13|-60,71|20,0|20,0|?
BAILLY M|-67,51|-61,16|23,0|23,0|?
BAILLY N|-63,68|-60,53|11,0|11,0|?
BAILLY O|-56,92|-69,59|16,0|16,0|?
BAILLY P|-60,67|-59,57|15,0|15,0|?
BAILLY R|-79,18|-64,66|18,0|18,0|?
BAILLY T|-73,83|-66,49|18,0|18,0|?
BAILLY U|-76,03|-71,24|20,0|20,0|?
BAILLY V|-81,45|-71,91|29,0|29,0|?
BAILLY Y|-65,60|-61,04|12,0|12,0|?
BAILLY Z|-65,86|-60,22|12,0|12,0|?
BAILY|30,56|49,78|27,0|27,0|?
BAILY A|31,39|48,71|16,0|16,0|?
Baily A 1|28,54|47,14|25,0|40,0|?
BAILY B|35,18|51,00|7,0|7,0|?
BALBOA|-83,31|19,24|70,0|70,0|?
BALBOA A|-82,02|17,42|47,0|47,0|?
BALBOA B|-82,57|20,49|62,0|62,0|?
BALBOA C|-79,17|19,59|27,0|27,0|?
BALBOA D|-79,80|18,25|40,0|40,0|?
BALL|-8,39|-35,92|41,0|41,0|2800
BALL A|-9,40|-34,74|29,0|29,0|?
BALL B|-9,19|-36,92|10,0|10,0|?
BALL C|-8,79|-37,70|31,0|31,0|?
BALL D|-10,42|-35,62|21,0|21,0|?
BALL F|-8,49|-36,95|12,0|12,0|?
BALL G|-10,22|-37,72|28,0|28,0|?
BALMER|70,22|-20,27|113,0|113,0|?
BALMER N|69,82|-19,92|8,0|8,0|?
BALMER P|67,58|-20,48|13,0|13,0|?
BALMER Q|70,50|-18,69|7,0|7,0|?
BALMER S|67,63|-18,57|6,0|6,0|?
BANACHIEWICZ|80,01|5,28|93,0|92,0|?
BANACHIEWICZ B|78,97|5,29|24,0|24,0|?
BANACHIEWICZ C|75,33|7,02|19,0|19,0|?
BANACHIEWICZ E|74,75|7,57|7,0|7,0|?
BANCROFT|-6,43|28,07|13,0|13,0|2490
BARKLA|67,22|-10,67|43,0|43,0|?
BARNARD|85,95|-29,79|101,0|101,0|?
BARNARD A|85,06|-32,15|13,0|13,0|?
BARNARD D|89,17|-31,34|47,0|47,0|?
BAROCIUS|16,81|-44,98|83,0|83,0|3500
BAROCIUS B|18,29|-44,13|39,0|39,0|?
BAROCIUS C|17,48|-43,11|33,0|33,0|?
BAROCIUS D|19,18|-46,06|8,0|8,0|?
BAROCIUS E|22,15|-47,24|26,0|26,0|?
BAROCIUS EC|22,49|-48,22|8,0|8,0|?
BAROCIUS F|21,60|-45,92|15,0|15,0|?
BAROCIUS G|21,03|-42,52|27,0|27,0|?
BAROCIUS H|21,63|-46,71|11,0|11,0|?
BAROCIUS J|21,41|-44,97|27,0|27,0|?
BAROCIUS K|19,63|-45,22|15,0|15,0|?
BAROCIUS L|18,81|-42,50|13,0|13,0|?
BAROCIUS M|19,48|-42,45|17,0|17,0|?
BAROCIUS N|19,76|-43,20|10,0|10,0|?
BAROCIUS R|21,53|-43,91|14,0|14,0|?
BAROCIUS S|21,82|-42,50|8,0|8,0|?
BAROCIUS W|16,21|-45,68|20,0|20,0|?
BARROW|7,59|71,28|93,0|93,0|?
BARROW A|3,86|70,56|28,0|28,0|?
BARROW B|10,53|70,16|16,0|16,0|?
BARROW C|11,12|73,02|29,0|29,0|?
BARROW E|3,33|69,00|18,0|18,0|?
BARROW F|1,81|69,16|19,0|19,0|?
BARROW G|0,26|70,17|30,0|30,0|?
BARROW K|11,74|69,29|46,0|46,0|?
BARROW M|9,14|67,61|6,0|6,0|?
BARTELS A|-89,60|25,70|17,0|17,0|?
BAYER|-35,14|-51,62|48,0|48,0|2000
BAYER A|-30,44|-51,36|18,0|18,0|?
BAYER B|-28,20|-48,82|18,0|18,0|?
BAYER C|-31,42|-49,77|22,0|22,0|?
BAYER D|-29,84|-47,96|20,0|20,0|?
BAYER E|-32,41|-51,77|29,0|29,0|?
BAYER F|-31,68|-53,03|20,0|20,0|?
BAYER G|-35,49|-51,74|7,0|7,0|?
