Nom|Longitude|Latitude|Long  (km)|Larg (km)|Hauteur (m)
Bellot 1|49,02|-12,53|4,0|4,0|?
BELLOT A|47,62|-13,19|8,0|8,0|?
BELLOT B|47,72|-13,55|7,0|7,0|?
BENCH|-23,40|-3,20|0,1|0,1|
BERNOULLI|60,61|34,93|48,0|47,0|4000
BERNOULLI A|60,88|36,41|20,2|20,2|
BERNOULLI B|65,51|36,84|22,0|22,0|?
BERNOULLI C|67,19|35,38|19,0|19,0|?
BERNOULLI D|66,50|35,79|12,0|12,0|?
BERNOULLI E|62,86|35,32|26,0|26,0|?
BERNOULLI K|63,40|36,54|20,0|20,0|?
BEROSUS|69,99|33,50|75,0|74,0|?
BEROSUS A|68,08|33,14|12,0|12,0|?
BEROSUS F|66,53|34,00|22,0|22,0|?
BEROSUS K|70,89|32,19|6,0|6,0|?
BERZELIUS|50,95|36,55|51,0|51,0|?
BERZELIUS A|48,87|36,74|7,0|7,0|?
BERZELIUS B|43,10|32,31|23,0|23,0|?
BERZELIUS F|46,02|32,85|12,0|12,0|?
BERZELIUS K|47,03|35,57|7,0|7,0|?
BERZELIUS T|47,96|36,25|9,0|9,0|?
BERZELIUS W|53,10|38,14|6,0|6,0|?
BESSARION|-37,31|14,85|10,0|10,0|2000
Bessarion 1|-35,68|12,71|4,0|4,0|?
BESSARION A|-39,83|17,07|13,0|13,0|?
BESSARION B|-41,72|16,83|12,0|12,0|?
BESSARION C|-42,64|16,03|9,0|9,0|?
Bessarion C 1|-40,37|14,89|0,0|0,0|?
BESSARION D|-41,73|19,77|9,0|9,0|?
BESSARION E|-37,35|15,37|8,0|8,0|?
BESSEL|17,92|21,73|17,0|16,0|1740
Bessel 1|15,23|21,16|0,0|0,0|?
Bessel F 1|13,78|21,22|0,0|0,0|?
Bessel G 1|14,85|21,16|0,0|0,0|?
Bessel G 2|14,98|21,78|0,0|0,0|?
Bessel G 3|14,66|21,78|0,0|0,0|?
BETTINUS|-45,16|-63,40|71,0|71,0|3300
BETTINUS A|-49,03|-64,88|26,0|26,0|?
BETTINUS B|-51,31|-63,54|24,0|24,0|?
BETTINUS C|-38,09|-63,33|20,0|20,0|?
BETTINUS D|-46,61|-65,00|9,0|9,0|?
BETTINUS E|-42,38|-63,21|7,0|7,0|?
BETTINUS F|-44,02|-62,97|6,0|6,0|?
BETTINUS G|-44,74|-61,60|7,0|7,0|?
BETTINUS H|-43,82|-64,62|8,0|8,0|?
BIANCHINI|-34,37|48,78|38,0|38,0|3050
BIANCHINI D|-35,70|47,55|7,0|7,0|?
BIANCHINI H|-32,86|48,08|7,0|7,0|?
BIANCHINI W|-33,81|48,55|9,0|9,0|?
BIELA|51,63|-54,99|76,0|76,0|3100
BIELA A|53,39|-52,94|26,0|26,0|?
BIELA B|50,03|-56,72|43,0|43,0|?
BIELA C|53,50|-54,28|26,0|26,0|?
BIELA D|56,41|-55,89|14,0|14,0|?
BIELA E|56,58|-56,61|8,0|8,0|?
BIELA F|54,85|-56,52|9,0|9,0|?
BIELA G|54,09|-56,38|10,0|10,0|?
BIELA H|54,40|-58,02|8,0|8,0|?
BIELA J|52,89|-57,07|14,0|14,0|?
BIELA T|49,92|-53,92|7,0|7,0|?
BIELA U|49,31|-53,66|16,0|16,0|?
BIELA V|48,45|-53,73|6,0|6,0|?
BIELA W|49,87|-55,31|16,0|16,0|?
BIELA Y|58,01|-54,97|15,0|15,0|?
BIELA Z|57,00|-53,90|48,0|48,0|?
BILHARZ|56,34|-5,83|43,0|43,0|?
BILLY|-50,24|-13,83|46,0|46,0|1210
Billy 1|-49,95|-15,13|3,0|5,0|?
BILLY A|-46,34|-14,34|7,0|7,0|?
BILLY B|-47,67|-12,20|25,0|25,0|?
BILLY C|-49,14|-16,08|6,0|6,0|?
BILLY D|-48,39|-14,86|11,0|11,0|?
BIOT|51,08|-22,70|13,0|13,0|1500
BIOT A|48,83|-22,22|15,0|15,0|?
BIOT B|49,58|-20,43|28,0|28,0|?
BIOT C|51,14|-22,11|8,0|8,0|?
BIOT D|50,35|-24,34|9,0|9,0|?
BIOT E|50,87|-24,77|8,0|8,0|?
BIRMINGHAM|-10,70|65,12|93,0|92,0|?
Birmingham 1|-39,02|66,21|7,0|7,0|?
BIRMINGHAM B|-11,24|63,52|8,0|8,0|?
BIRMINGHAM H|-10,64|64,46|7,0|7,0|?
BIRMINGHAM K|-13,17|65,05|6,0|6,0|?
Birmingham l 1|-10,52|60,46|0,0|0,0|?
BIRT|-8,59|-22,36|17,0|17,0|3470
Birt 1|-9,60|-20,67|12,3|12,3|250
Birt 2|-9,89|-20,43|10,0|10,0|200
Birt 3|-9,51|-20,30|10,0|6,0|200
BIRT A|-8,24|-22,49|6,8|6,8|1040
BLANCANUS|-21,63|-63,77|106,0|106,0|3900
BLANCANUS A|-22,15|-64,72|6,0|6,0|?
BLANCANUS C|-28,22|-66,60|46,0|46,0|?
BLANCANUS D|-16,65|-63,22|24,0|24,0|?
BLANCANUS E|-21,83|-66,68|37,0|37,0|?
BLANCANUS F|-27,50|-65,19|9,0|9,0|?
BLANCANUS G|-25,19|-63,13|9,0|9,0|?
BLANCANUS H|-23,59|-65,61|7,0|7,0|?
BLANCANUS K|-23,36|-60,53|11,0|11,0|?
BLANCANUS N|-25,86|-63,26|11,0|11,0|?
BLANCANUS V|-21,43|-64,34|7,0|7,0|?
BLANCANUS W|-20,33|-60,96|9,0|9,0|?
BLANCHINUS|2,44|-25,32|68,0|58,0|?
BLANCHINUS B|1,55|-25,23|8,0|8,0|?
BLANCHINUS D|4,17|-25,03|7,0|7,0|?
BLANCHINUS K|4,99|-24,81|9,0|9,0|?
BLISS|-13,78|53,04|22,8|22,8|
BLOCK|-23,40|-3,20|0,0|0,0|
BOBILLIER|15,44|19,63|7,0|7,0|1230
BODE|-2,45|6,71|18,0|18,0|3500
BODE E|-3,45|12,42|7,0|7,0|?
BODE K|-2,28|9,30|6,0|6,0|?
BODE N|-3,88|10,97|6,0|6,0|?
BOETHIUS|72,33|5,57|10,0|10,0|?
BOGUSLAWSKY|43,26|-72,90|98,0|98,0|3400
BOGUSLAWSKY A|43,57|-74,41|6,0|6,0|?
BOGUSLAWSKY B|61,12|-73,98|63,0|63,0|?
BOGUSLAWSKY C|27,70|-70,99|36,0|36,0|?
BOGUSLAWSKY D|47,41|-72,86|24,0|24,0|?
BOGUSLAWSKY E|54,33|-74,31|14,0|14,0|?
BOGUSLAWSKY F|52,97|-75,42|30,0|30,0|?
BOGUSLAWSKY G|34,35|-71,48|21,0|21,0|?
BOGUSLAWSKY H|29,06|-72,82|19,0|19,0|?
BOGUSLAWSKY J|28,40|-72,09|36,0|36,0|?
BOGUSLAWSKY K|50,35|-73,47|46,0|46,0|?
BOGUSLAWSKY L|36,47|-70,68|22,0|22,0|?
BOGUSLAWSKY M|34,84|-70,45|9,0|9,0|?
BOGUSLAWSKY N|32,88|-73,86|28,0|28,0|?
BOHNENBERGER|40,06|-16,24|33,0|33,0|1060
BOHNENBERGER A|40,17|-17,82|30,0|30,0|?
BOHNENBERGER C|41,10|-18,67|16,0|16,0|?
BOHNENBERGER D|42,63|-18,39|14,0|14,0|?
BOHNENBERGER E|42,07|-17,41|13,0|13,0|?
BOHNENBERGER F|39,68|-14,71|10,0|10,0|?
BOHNENBERGER G|40,13|-17,23|12,0|12,0|?
BOHNENBERGER N|41,89|-17,95|6,0|6,0|?
BOHNENBERGER P|41,47|-19,25|11,0|11,0|?
BOHNENBERGER W|41,10|-18,25|10,0|10,0|?
BONPLAND|-17,33|-8,38|60,0|60,0|?
BONPLAND D|-18,28|-10,16|6,0|6,0|?
BOOLE A|-80,57|63,42|56,0|56,0|?
BOOLE B|-77,70|63,60|9,0|9,0|?
BOOLE C|-82,47|65,37|18,0|18,0|?
BOOLE D|-83,38|64,01|10,0|10,0|?
BOOLE E|-84,66|62,84|16,0|16,0|?
BOOLE F|-79,41|64,10|34,0|34,0|?
BOOLE G|-90,68|65,27|35,0|35,0|?
BOOLE H|-88,83|61,73|75,0|75,0|?
BOOLE R|-78,25|64,39|13,0|13,0|?
BORDA|46,52|-25,20|45,0|45,0|2900
BORDA A|50,80|-26,87|19,0|19,0|?
BORDA D|46,12|-24,57|6,0|6,0|?
BORDA E|45,48|-24,01|12,0|12,0|?
BORDA F|47,89|-26,19|11,0|11,0|?
BORDA G|45,31|-26,31|6,0|6,0|?
BORDA H|46,59|-26,74|10,0|10,0|?
BORDA J|46,97|-27,02|17,0|17,0|?
BORDA K|47,14|-27,54|12,0|12,0|?
BORDA L|47,63|-27,06|12,0|12,0|?
BORDA M|43,91|-25,43|15,0|15,0|?
BORDA R|50,53|-27,43|17,0|17,0|?
BORIS|-33,50|30,53|1,7|1,7|
BORYA|-35,00|38,30|0,4|0,4|
BOSCOVICH|11,01|9,71|46,0|46,0|1800
BOSCOVICH A|12,63|9,46|6,0|6,0|?
BOSCOVICH E|12,72|9,03|21,0|21,0|?
Boscovich E 1|12,91|8,57|15,0|15,0|?
BOSCOVICH P|10,31|11,47|67,0|67,0|?
BOSS A|80,18|52,21|27,0|27,0|?
BOSS B|78,13|52,02|12,0|12,0|?
BOSS C|76,67|52,26|21,0|21,0|?
BOSS D|87,59|44,36|15,0|15,0|?
BOSS F|89,09|54,17|36,0|36,0|?
BOSS K|81,15|49,53|19,0|19,0|?
BOSS L|82,48|50,85|40,0|40,0|?
BOSS M|83,87|51,90|13,0|13,0|?
BOSS N|85,80|52,03|16,0|16,0|?
BOUGUER|-35,82|52,32|23,0|23,0|2500
BOUGUER A|-33,89|52,61|8,0|8,0|?
BOUGUER B|-33,07|53,36|7,0|7,0|?
BOUSSINGAULT|53,73|-70,21|131,0|131,0|3200
BOUSSINGAULT A|53,87|-69,96|72,0|72,0|?
BOUSSINGAULT B|47,04|-65,69|54,0|54,0|?
BOUSSINGAULT C|48,06|-65,15|24,0|24,0|?
BOUSSINGAULT D|44,81|-63,58|9,0|9,0|?
BOUSSINGAULT E|46,64|-67,08|98,0|98,0|?
BOUSSINGAULT F|39,65|-68,97|16,0|16,0|?
BOUSSINGAULT K|50,10|-68,83|29,0|29,0|?
BOUSSINGAULT N|61,20|-71,37|15,0|15,0|?
BOUSSINGAULT P|45,59|-67,29|13,0|13,0|?
BOUSSINGAULT R|48,66|-64,40|12,0|12,0|?
BOUSSINGAULT S|46,91|-64,14|16,0|16,0|?
BOUSSINGAULT T|43,06|-63,02|20,0|20,0|?
BOUVARD B|-79,85|-41,70|25,0|25,0|?
BOUVARD C|-77,48|-37,05|16,0|16,0|?
BOUVARD D|-80,66|-42,76|26,0|26,0|?
BOUVARD E|-77,56|-41,86|14,0|14,0|?
BOUVARD F|-76,55|-42,44|11,0|11,0|?
BOUVARD G|-74,75|-42,03|21,0|21,0|?
BOUVARD M|-77,45|-40,57|69,0|69,0|?
BOUVARD N|-76,51|-38,43|66,0|66,0|?
BOUVARD P|-75,11|-38,97|13,0|13,0|?
BOUVARD R|-84,36|-35,52|8,0|8,0|?
BOUVARD S|-80,64|-35,58|12,0|12,0|?
BOWEN|9,10|17,63|8,0|9,0|800
BOWEN APOLLO|30,90|20,30|0,4|0,4|
BRACKETT|23,54|17,84|8,0|9,0|?
BRAYLEY|-36,94|20,90|15,0|15,0|2840
BRAYLEY B|-34,31|20,73|10,0|10,0|?
Brayley B 1|-33,95|19,63|8,0|8,0|?
Brayley B 2|-33,02|20,92|2,0|4,0|?
BRAYLEY C|-39,46|21,39|9,0|9,0|?
BRAYLEY D|-32,88|20,02|6,0|6,0|?
Brayley D 1|-32,57|19,33|14,0|14,0|?
Brayley D 2|-32,58|19,69|14,0|14,0|?
BREISLAK|18,31|-48,31|50,0|50,0|?
BREISLAK A|17,35|-47,01|7,0|7,0|?
BREISLAK B|18,21|-47,72|7,0|7,0|?
BREISLAK C|18,85|-48,96|6,0|6,0|?
BREISLAK E|19,08|-47,87|8,0|8,0|?
BREISLAK F|19,42|-48,53|7,0|7,0|?
BREISLAK G|19,20|-47,00|16,0|16,0|?
BRENNER|39,11|-39,09|98,0|98,0|3300
BRENNER A|39,95|-40,40|32,0|32,0|?
BRENNER B|41,90|-37,45|10,0|10,0|?
BRENNER C|41,99|-36,56|7,0|7,0|?
BRENNER D|38,65|-36,29|8,0|8,0|?
BRENNER E|40,51|-38,97|14,0|14,0|?
BRENNER F|37,03|-40,72|14,0|14,0|?
BRENNER H|38,67|-37,01|8,0|8,0|?
BRENNER J|36,55|-37,71|8,0|8,0|?
BRENNER K|37,12|-38,01|7,0|7,0|?
BRENNER M|36,72|-38,76|7,0|7,0|?
BRENNER N|36,58|-38,97|7,0|7,0|?
BRENNER P|35,21|-38,81|7,0|7,0|?
BRENNER Q|35,84|-39,26|8,0|8,0|?
BRENNER R|38,27|-40,79|10,0|10,0|?
BRENNER S|36,19|-38,44|6,0|6,0|?
BREWSTER|34,69|23,27|12,0|11,0|2130
BRIANCHON|-88,36|74,75|146,0|145,0|?
BRIANCHON A|-87,29|76,81|46,0|46,0|?
BRIANCHON B|-89,18|72,15|33,0|33,0|?
BRIANCHON T|-99,31|75,28|28,0|28,0|?
BRIDGE|3,60|26,00|0,7|0,7|
BRIGGS|-69,19|26,45|36,0|37,0|1160
BRIGGS A|-73,78|27,12|23,0|23,0|?
BRIGGS B|-70,91|28,15|25,0|25,0|?
BRIGGS C|-66,95|25,02|6,0|6,0|?
BRISBANE|68,76|-49,20|45,0|45,0|?
BRISBANE E|71,41|-50,26|56,0|56,0|?
BRISBANE H|65,12|-50,37|43,0|43,0|?
BRISBANE X|67,98|-50,58|20,0|20,0|?
BRISBANE Y|70,17|-51,47|17,0|17,0|?
BRISBANE Z|72,82|-52,89|64,0|64,0|?
BRONTE|30,70|20,20|0,2|0,2|
BROWN|-17,99|-46,53|35,0|35,0|2300
BROWN A|-17,44|-48,15|16,0|16,0|?
BROWN B|-16,17|-44,73|12,0|12,0|?
BROWN C|-17,00|-47,58|13,0|13,0|?
BROWN D|-16,25|-46,07|20,0|20,0|?
BROWN E|-17,63|-46,86|22,0|22,0|?
BROWN F|-18,48|-46,91|6,0|6,0|?
BROWN K|-15,75|-46,74|16,0|16,0|?
BRUCE|0,37|1,16|7,0|7,0|1300
Bruce 1|0,23|2,35|12,0|12,0|?
BUCH|17,68|-38,90|55,0|55,0|1400
BUCH A|17,58|-41,06|19,0|19,0|?
BUCH B|16,95|-37,89|6,0|6,0|?
BUCH C|17,25|-37,47|28,0|28,0|?
BUCH D|16,48|-39,68|7,0|7,0|?
BUCH E|16,50|-38,98|6,0|6,0|?
BULLIALDUS|-22,26|-20,75|61,0|61,0|3510
Bullialdus 1|-22,09|-17,34|6,0|12,0|?
BULLIALDUS A|-21,57|-22,21|26,0|26,0|?
BULLIALDUS B|-21,96|-23,46|21,0|21,0|?
BULLIALDUS F|-24,91|-22,51|6,0|6,0|?
BULLIALDUS K|-25,69|-21,78|12,0|12,0|?
BULLIALDUS R|-19,84|-20,23|17,0|17,0|?
BUNSEN A|-88,71|43,17|39,0|39,0|?
BUNSEN B|-88,03|44,11|20,0|20,0|?
BUNSEN C|-89,82|44,21|18,0|18,0|?
BUNSEN D|-86,71|40,85|14,0|14,0|?
BURCKHARDT|56,39|31,11|58,0|57,0|4840
BURCKHARDT A|58,48|30,40|28,0|28,0|?
BURCKHARDT B|60,20|29,93|11,0|11,0|?
BURCKHARDT C|59,00|31,60|6,0|6,0|?
BURCKHARDT E|55,55|30,57|39,0|39,0|?
BURCKHARDT F|57,11|31,35|43,0|43,0|?
BURCKHARDT G|57,49|32,04|7,0|7,0|?
BURG|28,21|45,07|40,0|40,0|2200
BURG A|33,06|46,87|12,0|12,0|?
BURG B|23,46|42,70|6,0|6,0|?
BURNHAM|7,25|-13,92|25,0|25,0|?
BURNHAM A|7,03|-14,80|7,0|7,0|?
BURNHAM F|6,88|-14,35|9,0|9,0|?
BURNHAM M|9,02|-14,12|9,0|9,0|?
BUSCHING|19,96|-38,04|53,0|53,0|1700
BUSCHING A|20,43|-38,37|6,0|6,0|?
BUSCHING B|22,75|-39,01|17,0|17,0|?
BUSCHING C|19,53|-37,30|7,0|7,0|?
BUSCHING D|21,80|-38,75|33,0|33,0|?
BUSCHING E|18,38|-36,71|15,0|15,0|?
BUSCHING F|20,95|-39,10|6,0|6,0|?
BUSCHING G|21,54|-39,57|8,0|8,0|?
BUSCHING J|22,21|-39,55|7,0|7,0|?
BYRD C|28,34|84,35|52,0|52,0|?
BYRD D|33,41|85,52|24,0|24,0|?
BYRGIUS|-65,38|-24,73|88,0|87,0|?
Byrgius 1|-65,55|-24,71|0,0|0,0|?
BYRGIUS A|-63,81|-24,55|19,0|19,0|?
BYRGIUS B|-60,96|-23,88|23,0|23,0|?
BYRGIUS D|-67,28|-24,08|27,0|27,0|?
BYRGIUS E|-66,36|-23,49|18,0|18,0|?
BYRGIUS H|-62,60|-23,76|27,0|27,0|?
BYRGIUS K|-61,94|-23,01|14,0|14,0|?
BYRGIUS N|-63,16|-22,39|20,0|20,0|?
BYRGIUS P|-64,23|-22,53|19,0|19,0|?
BYRGIUS R|-60,85|-26,50|7,0|7,0|?
BYRGIUS S|-61,77|-26,06|43,0|43,0|?
BYRGIUS U|-67,36|-25,84|13,0|13,0|?
BYRGIUS V|-67,90|-26,07|9,0|9,0|?
BYRGIUS W|-68,64|-26,12|14,0|14,0|?
BYRGIUS X|-65,55|-25,74|6,0|6,0|?
C HERSCHEL|-31,29|34,48|13,0|13,0|1850
C HERSCHEL C|-32,62|37,23|7,0|7,0|?
C Herschel C 1|-31,77|37,45|3,0|3,0|?
C MAYER|17,31|63,26|38,0|38,0|2250
C MAYER B|15,44|60,19|36,0|36,0|?
C MAYER D|18,51|62,20|66,0|66,0|?
C MAYER E|16,04|61,18|12,0|12,0|?
C MAYER F|19,62|62,09|7,0|7,0|?
C MAYER H|14,74|64,21|43,0|43,0|?
CABEUS|-42,13|-85,33|98,0|98,0|?
CABEUS A|-40,24|-82,08|48,0|48,0|?
CABEUS B|-54,58|-82,26|61,0|61,0|?
CALIPPUS|10,72|38,92|33,0|33,0|2690
CALIPPUS A|7,87|37,06|16,0|16,0|?
CALIPPUS B|10,07|36,08|7,0|7,0|?
CALIPPUS C|9,16|39,43|40,0|40,0|?
CALIPPUS F|10,00|40,58|6,0|6,0|?
CAMELOT|30,70|20,20|0,6|0,6|
CAMERON|45,93|6,19|12,0|11,0|1100
CAMPANUS|-27,90|-28,04|48,0|48,0|2080
CAMPANUS A|-28,67|-25,99|11,0|11,0|?
CAMPANUS B|-29,24|-29,32|6,0|6,0|?
CAMPANUS G|-31,36|-28,66|10,0|10,0|?
CANNON|81,36|19,88|58,0|57,0|?
CANNON B|80,05|17,54|31,0|31,0|?
CANNON E|78,99|19,27|22,0|22,0|?
CAPELLA|34,92|-7,65|50,0|49,0|3250
CAPELLA A|37,18|-7,68|13,0|13,0|?
CAPELLA B|36,87|-9,47|10,0|10,0|?
CAPELLA C|36,39|-5,76|11,0|11,0|?
CAPELLA D|37,53|-6,79|8,0|8,0|?
CAPELLA E|37,70|-7,53|16,0|16,0|?
CAPELLA F|35,42|-9,22|14,0|14,0|?
CAPELLA G|36,92|-6,86|12,0|12,0|?
CAPELLA H|37,38|-8,17|9,0|9,0|?
CAPELLA J|36,06|-9,50|9,0|9,0|?
CAPELLA M|36,95|-4,47|12,0|12,0|?
CAPELLA R|35,21|-6,05|7,0|7,0|?
CAPELLA T|34,18|-6,94|6,0|6,0|?
CAPUANUS|-26,73|-34,09|60,0|60,0|?
Capuanus 1|-26,60|-34,26|5,6|5,6|?
Capuanus 2|-26,16|-34,12|9,0|9,0|?
Capuanus 3|-27,15|-34,06|10,0|15,0|?
Capuanus 4|-25,82|-33,78|7,0|7,0|?
Capuanus 5|-27,57|-33,71|10,0|12,0|?
Capuanus 6|-26,77|-33,64|9,0|9,0|?
CAPUANUS A|-25,70|-34,69|13,0|13,0|?
CAPUANUS B|-27,73|-34,32|11,0|11,0|?
CAPUANUS C|-25,31|-34,88|10,0|10,0|?
CAPUANUS D|-26,32|-36,44|22,0|22,0|?
CAPUANUS E|-27,17|-37,54|29,0|29,0|?
CAPUANUS F|-26,71|-36,97|8,0|8,0|?
CAPUANUS K|-26,56|-37,91|9,0|9,0|?
CAPUANUS L|-26,41|-38,34|11,0|11,0|?
CAPUANUS M|-25,68|-37,50|7,0|7,0|?
CAPUANUS P|-28,59|-35,44|78,0|78,0|?
CARDANUS|-72,50|13,27|50,0|50,0|2300
CARDANUS B|-73,96|11,45|13,0|13,0|?
CARDANUS C|-76,30|11,18|14,0|14,0|?
CARDANUS E|-70,80|12,80|6,0|6,0|?
CARDANUS G|-75,04|11,51|8,0|8,0|?
CARDANUS K|-77,04|14,12|8,0|8,0|?
CARDANUS M|-77,31|14,90|9,0|9,0|?
CARDANUS R|-73,50|12,25|21,0|21,0|?
CARLINI|-24,12|33,75|12,0|12,0|2200
Carlini 1|-24,13|33,23|2,4|2,4|?
Carlini 2|-24,51|33,23|2,4|3,0|?
Carlini 3|-25,62|34,12|0,0|0,0|?
Carlini 4|-24,92|35,52|4,2|4,2|?
CARLINI A|-26,64|35,36|7,0|7,0|?
Carlini A 1|-24,76|35,03|4,5|4,5|?
CARLINI D|-16,03|32,98|9,0|9,0|?
Carlini D 1|-18,44|34,06|6,0|12,0|?
Carlini H 1|-24,25|32,07|0,0|0,0|?
Carlini S 1|-28,08|38,17|4,1|4,1|?
Carlini S 2|-28,71|38,68|3,9|3,9|?
CARLOS|2,28|24,91|4,7|4,7|
CARMICHAEL|40,36|19,53|20,0|20,0|3640
Carmichael 1|38,77|18,72|0,0|0,0|?
Carmichael 2|38,43|18,91|0,0|0,0|?
Carmichael 3|41,61|20,49|3,0|3,0|?
CARPENTER|-51,23|69,52|60,0|60,0|2600
CARPENTER T|-58,69|70,28|9,0|9,0|?
CARPENTER U|-57,08|70,61|26,0|26,0|?
CARPENTER V|-54,68|71,91|6,0|6,0|?
CARPENTER W|-60,24|72,37|10,0|10,0|?
CARPENTER Y|-63,02|71,86|9,0|9,0|?
CARREL|26,68|10,67|17,0|16,0|?
CARRINGTON|62,04|43,97|30,0|30,0|?
CARTAN|59,29|4,24|17,0|16,0|?
CASATUS|-30,75|-72,70|111,0|111,0|3900
CASATUS A|-37,63|-72,68|56,0|56,0|?
CASATUS C|-30,29|-72,25|17,0|17,0|?
CASATUS D|-43,30|-76,89|36,0|36,0|?
CASATUS E|-53,97|-77,25|41,0|41,0|?
CASATUS H|-21,40|-72,11|35,0|35,0|?
CASATUS J|-32,94|-74,35|22,0|22,0|?
CASATUS K|-40,70|-74,80|36,0|36,0|?
CASSINI|4,64|40,25|58,0|57,0|1240
Cassini 1|3,80|38,24|0,0|0,0|?
CASSINI B|3,87|40,02|9,0|9,0|?
Cassini C 1|8,77|44,91|0,0|0,0|?
CASSINI E|7,34|42,98|10,0|10,0|?
CASSINI F|7,28|40,92|7,0|7,0|?
CASSINI L|4,41|43,99|6,0|6,0|?
CASSINI M|3,75|41,38|8,0|8,0|?
CASSINI W|4,25|42,35|6,0|6,0|?
CATALAN A|-89,29|-45,72|21,0|21,0|?
CATALAN B|-88,53|-45,61|14,0|14,0|?
CATENA ABULFEDA|16,70|-16,59|210,0|10,0|?
CATENA BRIGITTE|27,49|18,50|7,7|7,7|
CATENA DAVY|-6,27|-10,98|50,0|3,0|?
CATENA KRAFFT|-72,25|14,91|60,0|3,0|?
CATENA LITTROW|29,61|22,23|10,0|3,0|?
CATENA PIERRE|-31,86|19,76|9,4|9,4|
CATENA SYLVESTER|-83,12|79,99|139,0|139,0|
CATENA TARUNTIUS|48,71|3,04|69,2|69,2|
CATENA YURI|-30,38|24,41|4,5|4,5|
CATHARINA|23,55|-17,98|101,0|100,0|3130
Catharina 1|26,20|-19,57|6,0|10,0|?
Catharina 2|22,17|-16,38|15,0|14,0|?
CATHARINA A|22,27|-20,21|14,0|14,0|?
CATHARINA B|24,29|-16,96|24,0|24,0|?
CATHARINA C|24,31|-20,38|28,0|28,0|?
CATHARINA D|21,40|-16,94|9,0|9,0|?
CATHARINA E|21,26|-17,16|7,0|7,0|?
CATHARINA F|23,06|-19,54|7,0|7,0|?
CATHARINA G|24,91|-17,54|17,0|17,0|?
CATHARINA H|25,37|-19,31|6,0|6,0|?
CATHARINA J|22,18|-19,45|6,0|6,0|?
CATHARINA K|23,89|-20,06|7,0|7,0|?
CATHARINA M|20,73|-19,27|6,0|6,0|?
CATHARINA P|23,32|-17,28|46,0|46,0|?
CATHARINA S|23,37|-18,92|16,0|16,0|?
CAUCHY|38,63|9,56|13,0|13,0|2600
Cauchy 1|38,05|3,73|25,0|25,0|?
Cauchy 2|37,32|6,78|12,0|14,0|?
Cauchy 3|37,64|7,12|4,0|4,0|?
Cauchy 4|36,83|7,70|8,0|8,0|?
Cauchy 5|37,78|8,40|9,5|9,5|?
Cauchy 6|38,19|9,96|0,0|0,0|?
Cauchy 7|37,71|10,20|2,0|2,0|?
Cauchy 8|37,54|10,54|0,0|0,0|?
CAUCHY A|37,86|12,07|8,0|8,0|?
CAUCHY B|35,83|9,70|6,0|6,0|?
Cauchy B 1|34,38|10,08|8,0|8,0|?
CAUCHY D|40,29|10,02|9,0|9,0|?
Cauchy E 2|37,08|8,68|7,0|7,0|?
CAUCHY OMEGA|38,40|7,30|12,0|12,0|?
Cauchy T 1|36,74|7,53|10,2|10,2|150
CAUCHY TAU|36,80|7,60|12,0|12,0|?
Cauchy W 1|38,31|7,24|9,6|9,6|413
CAVALERIUS|-66,93|5,10|58,0|58,0|3000
Cavalerius 1|-69,93|8,05|0,0|0,0|?
Cavalerius 2|-65,02|8,28|14,0|14,0|?
CAVALERIUS A|-69,68|4,50|14,0|14,0|?
CAVALERIUS B|-71,12|5,97|39,0|39,0|?
CAVALERIUS C|-69,32|5,84|8,0|8,0|?
CAVALERIUS D|-68,47|8,66|52,0|52,0|?
CAVALERIUS E|-70,05|7,67|9,0|9,0|?
CAVALERIUS F|-65,39|8,11|7,0|7,0|?
Cavalerius F 1|-65,43|8,28|5,0|9,0|280
CAVALERIUS K|-69,38|10,29|10,0|10,0|?
CAVALERIUS L|-70,25|10,46|10,0|10,0|?
CAVALERIUS M|-71,63|10,35|12,0|12,0|?
CAVALERIUS U|-67,55|10,08|7,0|7,0|?
CAVALERIUS W|-67,40|6,94|7,0|7,0|?
CAVALERIUS Y|-69,91|10,69|7,0|7,0|?
CAVENDISH|-53,78|-24,63|56,0|56,0|2350
CAVENDISH A|-52,83|-24,02|10,0|10,0|?
CAVENDISH B|-55,19|-23,27|10,0|10,0|?
CAVENDISH E|-54,27|-25,43|24,0|24,0|?
CAVENDISH F|-54,16|-26,14|18,0|18,0|?
CAVENDISH M|-53,91|-21,97|6,0|6,0|?
CAYLEY|15,09|3,94|15,0|15,0|3100
CELSIUS|20,05|-34,10|36,0|36,0|1500
CELSIUS A|20,49|-32,97|14,0|14,0|?
CELSIUS B|19,63|-34,65|6,0|6,0|?
CELSIUS D|19,07|-34,76|19,0|19,0|?
CELSIUS E|20,04|-32,92|11,0|11,0|?
CELSIUS H|20,11|-33,84|6,0|6,0|?
CENSORINUS|32,69|-0,42|4,0|4,0|380
CENSORINUS A|32,99|-0,43|7,0|7,0|?
CENSORINUS B|31,44|-2,02|8,0|8,0|?
CENSORINUS C|34,15|-3,09|28,0|28,0|?
CENSORINUS D|35,86|-1,95|10,0|10,0|?
CENSORINUS E|34,84|-3,58|12,0|12,0|?
CENSORINUS H|33,66|-1,84|10,0|10,0|?
CENSORINUS N|36,60|-1,93|36,0|36,0|?
CENSORINUS S|36,19|-3,82|17,0|17,0|?
CENSORINUS W|37,49|-1,02|9,0|9,0|?
